stock_id,images,age,city,highway,transmission,drive,engine,cylinder,horsepower,torque,rating_5,rating_4,rating_3,rating_2,rating_1,mileage,owner,event,recall,"store[T.Fremont, CA]","store[T.Fresno, CA]","store[T.Modesto, CA]","store[T.Pleasanton, CA]","store[T.Reno, NV]","store[T.Roseville, CA]","store[T.Sacramento, CA]","store[T.San Francisco, CA]","store[T.San Jose, CA]","store[T.Santa Rosa, CA]",Intercept,make[T.Audi],make[T.BMW],make[T.Buick],make[T.Cadillac],make[T.Chevrolet],make[T.Chrysler],make[T.Dodge],make[T.Fiat],make[T.Ford],make[T.GMC],make[T.Honda],make[T.Hyundai],make[T.Infiniti],make[T.Jaguar],make[T.Jeep],make[T.Kia],make[T.Land],make[T.Lexus],make[T.Lincoln],make[T.Mazda],make[T.Mercedes-Benz],make[T.Mercury],make[T.Mini],make[T.Mitsubishi],make[T.Nissan],make[T.Pontiac],make[T.Porsche],make[T.Scion],make[T.Smart],make[T.Subaru],make[T.Toyota],make[T.Volkswagen],make[T.Volvo],torque_log,horsepower_log,image_quad,image_cub,age_quad,age_cub,luxury,mileage_morethan_100k,predicted,price,pred_perc
16211408,21,2,29.0,38.0,1,0,1.4,4.0,98.0,94.0,1,1,0,0,0,5.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.543294782270004,4.584967478670572,441,9261,4,8,0.0,0,15542.29522481824,11998.0,1.2954071699298415
16062200,24,2,18.0,24.0,0,0,3.3,6.0,276.0,248.0,1,0,0,0,0,57.0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5134287461649825,5.62040086571715,576,13824,4,8,0.0,0,22698.620640610854,17998.0,1.2611746105462192
16062799,26,6,18.0,27.0,0,0,3.7,6.0,304.0,279.0,3,5,0,0,0,22.0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.631211781821365,5.717027701406222,676,17576,36,216,1.0,0,25956.274300907728,18998.0,1.3662635172601183
15718714,22,6,16.0,22.0,0,1,3.7,6.0,273.0,270.0,5,6,0,0,0,125.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.598421958998375,5.60947179518496,484,10648,36,216,0.0,1,17223.962253417234,12998.0,1.3251240385764913
16185908,20,5,126.0,101.0,0,0,2.7484978001257074,4.92394720301697,107.0,187.0,1,2,0,0,1,31.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.231108616854587,4.672828834461906,400,8000,25,125,0.0,0,12446.59898499196,9998.0,1.244908880275251
16062991,24,9,17.0,25.0,0,1,3.7,6.0,305.0,273.0,8,5,0,0,1,124.0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.60947179518496,5.720311776607412,576,13824,81,729,0.0,1,17085.70168906854,11998.0,1.4240458150582214
16182612,19,2,23.676431424766978,31.466045272969374,0,0,5.7,8.0,395.0,410.0,0,0,0,0,0,11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.016157159698354,5.978885764901122,361,6859,4,8,1.0,0,28936.782683825524,20998.0,1.378073277637181
15831372,20,2,23.676431424766978,31.466045272969374,0,0,1.5,4.0,227.04213298222516,228.3531746031746,0,1,0,0,0,41.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,400,8000,4,8,0.0,0,19261.270406715965,15998.0,1.2039798979069862
15832530,22,2,20.0,27.0,0,1,2.0,4.0,245.0,275.0,1,0,0,0,0,10.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.616771097666572,5.501258210544727,484,10648,4,8,0.0,0,27657.534631292496,21998.0,1.2572749627826392
15869403,20,4,23.0,34.0,0,0,2.0,4.0,240.0,260.0,0,0,0,0,0,42.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528,5.480638923341991,400,8000,16,64,1.0,0,21070.157745067077,16998.0,1.2395668752245603
14037510,23,8,19.0,26.0,0,1,3.0,6.0,300.0,300.0,8,2,0,0,0,40.0,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201,5.703782474656201,529,12167,64,512,1.0,0,26748.684696297743,21998.0,1.2159598461813685
16185723,21,6,23.676431424766978,31.466045272969374,0,0,2.7484978001257074,4.92394720301697,107.0,187.0,11,9,2,0,1,44.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.231108616854587,4.672828834461906,441,9261,36,216,0.0,0,12619.547135601626,8998.0,1.4024835669706186
16211713,20,6,23.676431424766978,31.466045272969374,0,0,2.7484978001257074,4.92394720301697,107.0,187.0,11,9,2,0,1,49.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.231108616854587,4.672828834461906,400,8000,36,216,0.0,0,12034.069330321234,9998.0,1.2036476625646364
16057915,22,4,12.0,18.0,0,1,5.6,8.0,317.0,385.0,5,0,1,1,0,39.0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.953243334287785,5.75890177387728,484,10648,16,64,0.0,0,30918.90962520496,23998.0,1.2883952673224837
16243972,23,9,17.0,26.0,0,0,3.0,6.0,300.0,300.0,9,2,0,1,1,82.0,2,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201,5.703782474656201,529,12167,81,729,1.0,0,18602.03932614606,14599.0,1.2741995565549735
16094412,24,3,20.0,29.0,0,0,3.0,6.0,340.0,332.0,0,0,0,0,0,19.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.805134968916488,5.8289456176102075,576,13824,9,27,1.0,0,38122.42388544082,30998.0,1.2298349533983102
14846612,22,7,16.0,21.0,0,1,3.5,6.0,268.0,258.0,8,0,1,0,0,48.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.552959584921617,5.5909869805108565,484,10648,49,343,1.0,0,25378.589054074568,19998.0,1.2690563583395624
16211384,24,6,18.0,28.0,0,0,3.8,6.0,333.0,291.0,27,4,2,0,0,46.0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.673323267171493,5.808142489980444,576,13824,36,216,0.0,0,20728.008457740816,16599.0,1.2487504342274123
16156213,22,2,16.0,24.0,0,1,3.6,6.0,283.0,260.0,3,0,0,0,0,42.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528,5.645446897643238,484,10648,4,8,1.0,0,25001.998285865553,17998.0,1.3891542552431133
14956834,21,6,17.0,24.0,0,1,3.7,6.0,325.0,267.0,0,0,0,0,0,105.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58724865840025,5.783825182329737,441,9261,36,216,1.0,1,18429.992303777526,14998.0,1.2288299975848465
16211363,21,2,24.0,33.0,0,0,2.5,4.0,178.0,170.0,12,2,0,0,0,22.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.135798437050262,5.181783550292085,441,9261,4,8,0.0,0,21667.44546007411,17998.0,1.203880734530176
16039313,20,4,126.0,101.0,0,0,2.7484978001257074,4.92394720301697,107.0,187.0,1,0,0,0,0,51.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.231108616854587,4.672828834461906,400,8000,16,64,0.0,0,12097.748026932242,9599.0,1.2603133687813566
16146198,23,3,17.0,25.0,0,0,3.6,6.0,283.0,260.0,3,2,0,0,0,24.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528,5.645446897643238,529,12167,9,27,1.0,0,22825.607744655226,17998.0,1.2682302336179145
15763662,19,3,23.676431424766978,31.466045272969374,0,0,3.6,6.0,227.04213298222516,228.3531746031746,4,0,0,0,0,41.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,361,6859,9,27,0.0,0,18506.46655278511,11998.0,1.5424626231692875
16110996,23,2,17.0,25.0,0,0,3.6,6.0,283.0,260.0,0,0,0,0,0,46.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528,5.645446897643238,529,12167,4,8,1.0,0,22481.111829312806,18599.0,1.2087269116249695
15967678,21,3,23.676431424766978,31.466045272969374,0,0,3.6,6.0,227.04213298222516,228.3531746031746,4,0,0,0,0,48.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,441,9261,9,27,0.0,0,19225.00653395204,11599.0,1.6574710349126685
16211344,23,7,15.0,23.0,0,0,4.4,8.0,400.0,450.0,1,1,0,0,0,51.0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1092475827643655,5.991464547107982,529,12167,49,343,1.0,0,32387.444053897023,24998.0,1.2956014102687023
15945279,20,6,23.676431424766978,31.466045272969374,0,0,2.7484978001257074,4.92394720301697,107.0,187.0,11,9,2,0,1,43.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.231108616854587,4.672828834461906,400,8000,36,216,0.0,0,11855.126261133742,9599.0,1.2350376352884407
15984766,20,12,19.0,28.0,0,0,3.5,6.0,268.0,248.0,84,36,11,5,3,84.0,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.5134287461649825,5.5909869805108565,400,8000,144,1728,0.0,0,13237.078255851695,10998.0,1.2035895850019727
16211512,21,6,27.0,36.0,0,0,2.4,4.0,227.04213298222516,228.3531746031746,54,16,2,2,0,40.0,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,441,9261,36,216,0.0,0,18514.22932483244,14998.0,1.2344465478618776
15823315,20,11,17.0,25.0,0,1,3.0,6.0,230.0,200.0,43,13,2,1,1,88.0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298317366548036,5.438079308923196,400,8000,121,1331,1.0,0,14865.882758519598,11998.0,1.2390300682213367
16185892,23,4,18.0,27.0,0,1,3.0,6.0,300.0,300.0,0,0,0,0,0,22.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201,5.703782474656201,529,12167,16,64,1.0,0,33685.87529727328,25998.0,1.2957102583765396
